Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
8;16;308.4738559;1.8097739;306.664082;118;1;3;3;0;0;;;;;;;;;
8;17;188.1612563;3.2616046;184.8996517;117;1;3;3;0;0;;;;;;;;;
8;18;220.8802697;1.8958344;218.9844353;117;1;3;3;0;0;;;;;;;;;
9;10;83.074615;2.693911;80.380704;105;1;3;3;3;0;;;;;;;;;
9;11;247.3564217;1.719167;245.6372547;114;1;3;3;0;0;;;;;;;;;
9;12;220.5018058;1.8226567;218.6791491;111;1;3;3;3;0;;;;;;;;;
9;13;150.6402834;3.0394498;147.6008336;111;1;3;3;3;0;;;;;;;;;
9;14;241.8092266;1.3538147;240.4554119;104;1;3;3;0;0;;;;;;;;;
9;15;164.8760284;1.6565284;163.2195;110;1;3;3;3;0;;;;;;;;;
9;16;318.2851591;1.5142997;316.7708594;111;1;3;3;0;0;;;;;;;;;
9;17;83.1293931;2.7876558;80.3417373;110;1;3;3;0;0;;;;;;;;;
9;18;211.452632;1.6099755;209.8426565;110;1;3;3;0;0;;;;;;;;;
10;11;227.2140606;2.7901519;224.4239087;113;1;3;3;3;0;;;;;;;;;
10;12;101.5481133;1.7303126;99.8178007;110;1;3;3;2;0;;;;;;;;;
10;13;129.7496045;1.8725847;127.8770198;110;1;3;3;0;0;;;;;;;;;
10;14;106.6524451;1.37833;105.2741151;103;1;3;3;6;0;;;;;;;;;
10;15;80.2331244;2.8667879;77.3663365;109;1;3;3;0;0;;;;;;;;;
10;16;230.4973959;1.7001726;228.7972233;110;1;3;3;4;0;;;;;;;;;
10;17;82.5733296;1.5817234;80.9916062;109;1;3;3;3;0;;;;;;;;;
10;18;151.6138864;2.9259594;148.687927;109;1;3;3;3;0;;;;;;;;;
11;12;451.7758285;2.1219804;449.6538481;119;1;3;3;3;0;;;;;;;;;
11;13;331.2828452;2.9259825;328.3568627;119;1;3;3;3;0;;;;;;;;;
11;14;434.7547578;1.4049796;433.3497782;112;1;3;3;2;0;;;;;;;;;
11;15;345.2107082;1.7844964;343.4262118;118;1;3;3;3;0;;;;;;;;;
11;16;528.0554121;2.814162;525.2412501;119;1;3;3;0;0;;;;;;;;;
11;17;248.3020593;1.7210823;246.580977;118;1;3;3;0;0;;;;;;;;;
11;18;421.821964;1.6496878;420.1722762;118;1;3;3;0;0;;;;;;;;;
12;13;237.7073659;3.0444948;234.6628711;116;1;3;3;2;0;;;;;;;;;
12;14;111.464314;1.4669075;109.9974065;109;1;3;3;4;0;;;;;;;;;
12;15;105.0355496;1.7508662;103.2846834;115;1;3;3;0;0;;;;;;;;;
12;16;333.3602169;2.9124013;330.4478156;116;1;3;3;6;0;;;;;;;;;
12;17;213.3292332;1.6799778;211.6492554;115;1;3;3;3;0;;;;;;;;;
12;18;241.3846382;1.635381;239.7492572;115;1;3;3;3;0;;;;;;;;;
13;14;234.7370514;1.530683;233.2063684;109;1;3;3;6;0;;;;;;;;;
13;15;187.5380652;1.8113884;185.7266768;115;1;3;3;0;0;;;;;;;;;
13;16;333.8436648;2.8305762;331.0130886;116;1;3;3;4;0;;;;;;;;;
13;17;147.4878862;1.6639801;145.8239061;115;1;3;3;3;0;;;;;;;;;
13;18;246.9280611;1.714774;245.2132871;115;1;3;3;3;0;;;;;;;;;
14;15;115.2111045;1.336094;113.8750105;108;1;3;3;4;0;;;;;;;;;
14;16;359.3011181;1.4375306;357.8635875;109;1;3;3;2;0;;;;;;;;;
14;17;247.9675563;1.3455893;246.621967;108;1;3;3;0;0;;;;;;;;;
14;18;264.5704406;2.4018367;262.1686039;108;1;3;3;0;0;;;;;;;;;
15;16;302.3912335;1.5438127;300.8474208;115;1;3;3;4;0;;;;;;;;;
15;17;163.5571159;2.7786815;160.7784344;114;1;3;3;3;0;;;;;;;;;
15;18;221.1412426;1.5593455;219.5818971;114;1;3;3;3;0;;;;;;;;;
16;17;329.0501597;1.5753021;327.4748576;115;1;3;3;0;0;;;;;;;;;
16;18;391.1020024;1.4836259;389.6183765;115;1;3;3;0;0;;;;;;;;;
17;18;213.3332338;1.5886368;211.744597;114;1;3;3;0;0;;;;;;;;;
