Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
1,46,0.13214059999995698,0.08312569999998232,0.04901489999997466,24,1.0,1.0,1,4,0
1,47,0.40617789999998877,0.09784220000000232,0.30833569999998645,23,1.0,1.0,1,5,0
1,48,7.180698399999983,0.49432089999999107,6.686377499999992,28,1.0,1.5,2,11,1
1,49,16.389680399999975,0.9953257999999892,15.394354599999986,30,1.0,2.0,3,16,1
2,3,1.1457737999999722,0.09327039999999442,1.0525033999999778,29,1.0,1.5,2,11,1
2,4,19.895202400000016,0.23216210000003912,19.663040299999977,30,1.0,1.5,2,14,1
2,5,0.13027530000005072,0.10651080000002366,0.023764500000027056,23,1.0,1.5,2,11,1
2,6,0.8763288000000102,0.127627700000005,0.7487011000000052,30,1.0,1.5,2,10,1
2,7,0.6360605000000419,0.6182527999999934,0.0178077000000485,31,1.0,2.0,2,6,0
2,8,0.32577830000008134,0.3094359000000395,0.016342400000041835,26,1.0,2.0,2,15,0
2,9,0.8286541999999599,0.8147983999999724,0.01385579999998754,30,1.0,2.0,2,5,0
2,10,3.2360274000000118,3.2015223999999876,0.03450500000002421,32,1.0,2.0,2,8,0
2,11,23.434721500000023,2.561043799999993,20.87367770000003,31,1.0,2.0,2,6,0
2,12,5.29827210000002,0.7260188000000198,4.5722533,28,1.0,1.5,2,13,1
2,13,0.7011816000000408,0.3130236000000082,0.38815800000003264,28,1.0,1.5,2,10,1
2,14,0.38750399999997853,0.13889259999996284,0.2486114000000157,25,1.0,2.0,2,16,0
2,15,0.9691723000000252,0.1874644000000103,0.7817079000000149,26,1.0,1.5,2,10,1
2,16,0.409303599999987,0.1469493999999827,0.2623542000000043,25,1.0,2.0,2,17,0
2,17,5.8183937000000014,0.7833719999999857,5.035021700000016,28,1.0,1.5,2,10,1
2,18,0.10868489999995745,0.09540640000000167,0.013278499999955784,29,1.0,1.5,2,9,1
2,19,0.3517133999999942,0.25043099999999185,0.10128240000000233,26,1.0,2.0,2,15,0
2,20,0.08066169999995054,0.0522092999999586,0.02845239999999194,20,1.0,1.5,2,13,1
2,21,0.3100080000000389,0.29695430000003853,0.01305370000000039,26,1.0,2.0,2,15,0
2,22,0.3366642000000297,0.03781220000001895,0.2988520000000108,25,1.0,1.5,2,9,1
2,23,0.11652420000007169,0.1021158000000355,0.014408400000036181,29,1.0,1.5,2,9,1
2,24,0.3299523000000022,0.31914299999999685,0.01080930000000535,26,1.0,1.5,2,11,1
2,25,0.21395230000001675,0.20367140000001882,0.010280899999997928,24,1.0,1.5,2,11,1
2,26,0.8508493000000499,0.04058850000001257,0.8102608000000373,26,1.0,2.0,2,8,0
2,27,0.6106206999999699,0.4311700000000087,0.17945069999996122,26,1.0,1.5,2,13,1
2,28,0.20951469999994288,0.08856119999995826,0.12095349999998461,24,1.0,1.5,2,13,1
2,29,0.06693130000002157,0.05442729999998619,0.012504000000035376,20,1.0,1.5,2,12,1
2,30,3.3686761999999817,0.606504799999982,2.7621713999999997,28,1.0,2.0,2,20,0
2,31,1.8199597999999355,0.7478986999999506,1.072061099999985,29,1.0,1.5,2,11,1
2,32,0.16407030000004852,0.1333559000000264,0.030714400000022124,23,1.0,1.5,2,13,1
2,33,0.27011569999996254,0.20337150000000292,0.06674419999995962,25,1.0,1.5,2,13,1
2,34,1.5368567999999527,0.4394538999999895,1.0974028999999632,26,1.0,1.5,2,12,1
2,35,1.2961408999999549,0.655375499999991,0.6407653999999638,30,1.0,2.0,2,5,0
2,36,0.5391528000000108,0.1990662000000043,0.34008660000000646,25,1.0,1.5,2,12,1
2,37,1.0918382000000406,0.6301717000000053,0.4616665000000353,28,1.0,2.0,2,18,0
2,38,0.5715293000000088,0.3797880000000191,0.19174129999998968,26,1.0,1.5,2,14,1
2,39,0.7258783999999991,0.7087943000000223,0.017084099999976843,29,1.0,2.0,2,15,0
2,40,1.3348864000000162,0.3938175999999771,0.9410688000000391,27,1.0,2.0,2,18,0
2,41,0.22310869999995475,0.20903219999996736,0.01407649999998739,25,1.0,1.5,2,11,1
2,42,4.763883900000053,2.483863700000029,2.280020200000024,29,1.0,1.5,2,15,1
2,43,3.2719813999999587,1.6949678999999946,1.577013499999964,32,1.0,2.5,3,9,1
2,44,2.083474699999954,0.8485038000000031,1.2349708999999507,30,1.0,2.0,2,9,0
2,45,2.791528400000061,0.34328500000003714,2.448243400000024,30,1.0,1.5,2,12,1
2,46,0.24449029999993854,0.16974919999995564,0.07474109999998291,25,1.0,1.5,2,12,1
2,47,0.535065500000087,0.17176690000007966,0.36329860000000735,24,1.0,1.5,2,13,1
2,48,6.071409099999983,0.7020506999999725,5.36935840000001,29,1.0,2.0,2,9,0
2,49,9.224288900000033,1.4346854000000349,7.789603499999998,31,1.0,2.5,3,10,1
3,4,7.124377400000071,0.026280100000008133,7.098097300000063,31,1.0,1.0,1,3,0
3,5,0.5401352999999744,0.5327912999999853,0.007343999999989137,24,1.0,1.0,1,9,0
3,6,1.5949044999999842,0.01545490000000882,1.5794495999999754,31,1.0,1.0,1,3,0
3,7,2.987467600000059,1.5952604000000292,1.3922072000000298,32,1.0,1.5,2,10,1
3,8,3.677925599999867,2.1561210999999503,1.5218044999999165,27,1.0,1.5,2,15,1
3,9,2.354829699999982,1.148479499999894,1.206350200000088,31,1.0,1.5,2,8,1
3,10,5.87651320000009,3.5266933000000336,2.349819900000057,33,1.0,1.5,2,6,1
3,11,15.482839600000034,2.7568026000000145,12.72603700000002,32,1.0,1.5,2,9,1
3,12,3.977816100000041,0.6228466000000026,3.3549695000000384,29,1.0,1.0,1,4,0
3,13,1.3374272000000929,0.45697310000002744,0.8804541000000654,29,1.0,1.0,1,5,0
3,14,1.5584182000000055,0.8451381999999512,0.7132800000000543,26,1.0,1.5,2,14,1
3,15,0.7797983000000386,0.19126970000002075,0.5885286000000178,27,1.0,1.0,1,6,0
3,16,1.5699599999999236,0.8519748999999592,0.7179850999999644,26,1.0,1.5,2,14,1
3,17,2.901474099999973,0.5566341999999622,2.344839900000011,29,1.0,1.0,1,4,0
3,18,0.46888010000009217,0.01988010000002305,0.4490000000000691,30,1.0,1.0,1,4,0
3,19,2.0603466999999682,2.0462976999999682,0.014048999999999978,27,1.0,1.5,2,13,1
3,20,0.1314014000000725,0.10859260000006543,0.022808800000007068,21,1.0,1.0,1,14,0
3,21,3.1887067000000116,1.981322700000078,1.2073839999999336,27,1.0,1.5,2,15,1
3,22,0.27745710000010604,0.02440640000008898,0.25305070000001706,26,1.0,1.0,1,5,0
3,23,0.5577829999999722,0.02457830000003014,0.533204699999942,30,1.0,1.0,1,4,0
3,24,0.90027520000001,0.6931806000000051,0.2070946000000049,27,1.0,1.0,1,9,0
3,25,1.2618975999999975,0.9781692000000248,0.2837283999999727,25,1.0,1.0,1,12,0
3,26,1.25246489999995,0.061332799999945564,1.1911321000000044,27,1.0,1.5,2,9,1
3,27,3.521229799999901,2.363912400000004,1.1573173999998971,27,1.0,1.0,1,9,0
3,28,0.3275526999999556,0.23972649999996065,0.08782619999999497,25,1.0,1.0,1,9,0
3,29,0.12866609999991852,0.0933077999999341,0.03535829999998441,21,1.0,1.0,1,14,0
3,30,10.724737300000015,1.9132805000000417,8.811456799999974,29,1.0,1.5,2,12,1
3,31,0.7217638999999281,0.7133913999999777,0.008372499999950378,30,1.0,1.0,1,2,0
3,32,0.5690392999998721,0.5615082999999004,0.007530999999971755,24,1.0,1.0,1,9,0
3,33,0.9347975999999107,0.9265531999999439,0.008244399999966845,26,1.0,1.0,1,8,0
3,34,0.9591494000000012,0.3996819000000187,0.5594674999999825,27,1.0,1.0,1,8,0
3,35,1.3249069999998255,1.3089974999999185,0.015909499999906984,31,1.0,1.5,2,10,1
3,36,0.6720858999999564,0.32787419999999656,0.3442116999999598,26,1.0,1.0,1,9,0
3,37,2.549096200000008,2.4451715999999806,0.10392460000002757,29,1.0,1.5,2,14,1
3,38,1.0704617999999755,1.0628977999999734,0.007564000000002125,27,1.0,1.0,1,7,0
3,39,15.238277499999981,7.335101299999906,7.903176200000075,30,1.0,1.5,2,15,1
3,40,3.351894800000082,1.430101700000023,1.921793100000059,28,1.0,1.5,2,14,1
3,41,0.6997326000000612,0.5712581000000228,0.12847450000003846,26,1.0,1.0,1,10,0
3,42,2.189762500000029,2.177635099999975,0.012127400000053967,30,1.0,1.0,1,5,0
3,43,5.326710399999911,5.286931999999979,0.039778399999931935,33,1.0,2.0,3,13,1
3,44,1.6033586000000923,1.498518200000035,0.10484040000005734,31,1.0,1.5,2,9,1
3,45,0.04897260000007009,0.04052490000003672,0.008447700000033365,31,1.0,1.0,1,3,0
3,46,0.5363664000000199,0.5247384000000466,0.011627999999973326,26,1.0,1.0,1,8,0
3,47,0.7359201000000439,0.44192229999998744,0.2939978000000565,25,1.0,1.0,1,8,0
3,48,6.928596599999992,1.1401601999999684,5.788436400000023,30,1.0,1.5,2,8,1
3,49,32.6820335000001,4.244697200000019,28.437336300000084,32,1.0,2.0,3,14,1
4,5,2.897324699999899,1.246203899999955,1.6511207999999442,25,1.0,1.0,1,12,0
4,6,27.620039599999927,0.039345599999933256,27.580693999999994,32,1.0,1.0,1,6,0
4,7,23.40007199999991,2.265889399999992,21.134182599999917,33,1.0,1.5,2,13,1
4,8,27.488918900000044,5.810919200000058,21.677999699999987,28,1.0,1.5,2,18,1
4,9,21.339571699999965,1.5695644999999558,19.77000720000001,32,1.0,1.5,2,11,1
4,10,37.70004760000006,2.3617930000000342,35.33825460000003,34,1.0,1.5,2,9,1
4,11,10.03718589999994,1.6293590999999878,8.407826799999953,33,1.0,1.5,2,10,1
4,12,0.46082430000001295,0.45021059999999125,0.010613700000021709,30,1.0,1.0,1,5,0
4,13,19.197283799999923,1.2945141999999805,17.902769599999942,30,1.0,1.0,1,8,0
4,14,2.0748761999999488,2.0552917999999636,0.01958439999998518,27,1.0,1.5,2,15,1
4,15,1.021867099999895,0.266862500000002,0.7550045999998929,28,1.0,1.0,1,8,0
4,16,2.0754155000000765,2.054889000000003,0.02052650000007361,27,1.0,1.5,2,15,1
4,17,1.6645725000000766,0.3995126000000937,1.265059899999983,30,1.0,1.0,1,6,0
4,18,6.388693499999931,0.04305139999996754,6.345642099999964,31,1.0,1.0,1,6,0
4,19,29.710602799999947,6.153401400000007,23.55720139999994,28,1.0,1.5,2,16,1
4,20,0.18556919999991806,0.17624239999997826,0.009326799999939794,22,1.0,1.0,1,15,0
4,21,24.758662800000025,5.481362600000011,19.277300200000013,28,1.0,1.5,2,18,1
4,22,0.38255209999999806,0.040638999999941916,0.34191310000005615,27,1.0,1.0,1,7,0
4,23,8.474533400000041,0.026222200000006524,8.448311200000035,31,1.0,1.0,1,5,0
4,24,4.265207400000122,1.584207900000024,2.680999500000098,28,1.0,1.0,1,12,0
4,25,6.671504300000038,2.5304714000000104,4.141032900000027,26,1.0,1.0,1,15,0
4,26,0.49964890000012474,0.12042840000003707,0.37922050000008767,28,1.0,1.5,2,10,1
4,27,25.457234999999855,6.1164150999999265,19.34081989999993,28,1.0,1.0,1,12,0
4,28,0.5150906999999734,0.5074535999999625,0.0076371000000108324,26,1.0,1.0,1,10,0
4,29,0.2116135999999642,0.1505227999999761,0.06109079999998812,22,1.0,1.0,1,16,0
4,30,2.6244577000001073,2.601105900000107,0.023351800000000367,30,1.0,1.5,2,13,1
4,31,7.34176089999994,0.5744530999999142,6.767307800000026,31,1.0,1.0,1,5,0
4,32,2.8786700999999084,1.2239905000000135,1.654679599999895,25,1.0,1.0,1,12,0
4,33,6.3277925999999525,2.1880648000000065,4.139727799999946,27,1.0,1.0,1,11,0
4,34,1.2979371999999785,0.6153624999999465,0.682574700000032,28,1.0,1.0,1,10,0
4,35,33.334935599999994,2.746044299999994,30.5888913,32,1.0,1.5,2,12,1
4,36,1.027366599999823,0.5229482999998254,0.5044182999999975,27,1.0,1.0,1,11,0
4,37,44.58866489999991,7.450960099999975,37.13770479999994,30,1.0,1.5,2,17,1
4,38,9.709152699999777,2.8982928999998876,6.810859799999889,28,1.0,1.0,1,10,0
4,39,162.14831090000007,22.174199799999997,139.97411110000007,31,1.0,1.5,2,18,1
4,40,3.4345262999997885,3.398160199999893,0.036366099999895596,29,1.0,1.5,2,15,1
4,41,3.4072733999998945,1.399175199999945,2.0080981999999494,27,1.0,1.0,1,13,0
4,42,13.720041999999694,3.4289073999998436,10.29113459999985,31,1.0,1.0,1,8,0
4,43,132.86519339999995,9.880378000000064,122.98481539999989,34,1.0,2.0,3,16,1
4,44,39.987555899999734,3.156540699999823,36.83101519999991,32,1.0,1.5,2,11,1
4,45,12.68614730000013,0.06139789999997447,12.624749400000155,32,1.0,1.0,1,4,0
4,46,3.172761100000116,1.2717560000000958,1.9010051000000203,27,1.0,1.0,1,11,0
4,47,0.9623165000000427,0.9541489000000638,0.008167599999978847,26,1.0,1.0,1,9,0
4,48,1.2547878000002584,1.0025368000001436,0.2522510000001148,31,1.0,1.5,2,9,1
4,49,5.174412999999959,5.033922999999959,0.14048999999999978,33,1.0,2.0,3,15,1
5,6,0.7360074999999142,0.6527673999999024,0.08324010000001181,25,1.0,1.0,1,12,0
5,7,0.3129173999998329,0.25405369999998584,0.058863699999847086,26,1.0,1.5,2,15,1
5,8,0.058158800000001065,0.04304210000009334,0.015116699999907723,21,1.0,1.5,2,10,1
5,9,0.3184088000000429,0.26102460000015526,0.05738419999988764,25,1.0,1.5,2,14,1
5,10,0.9217293999997764,0.8155240999999478,0.10620529999982864,27,1.0,1.5,2,15,1
