Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;1;2;3;4;5
7;9;3.4564088;0.0401425;3.4162663;28;1;2;2;4;0;2;;;;;;;
8;9;1.9214586;0.5735431;1.3479155;29;1;1.5;2;12;1;2;;;;;;;
0;1;1.0708359;0.8911955;0.1796404;28;1;1;1;10;0;2;;;;;;;
0;2;36.4175808;8.8820781;27.5355027;35;1;1.5;2;10;1;2;;;;;;;
0;3;1.0415881;0.0316587;1.0099294;29;1;1;1;8;0;2;;;;;;;
0;4;15.5482095;11.0155583;4.5326512;31;1;1.5;2;17;1;2;;;;;;;
0;5;8.2999911;0.9563769;7.3436142;31;1;1;1;7;0;2;;;;;;;
0;6;41.7118383;17.3330491;24.3787892;35;1;2;3;17;1;2;;;;;;;
0;7;0.235263;0.0346351;0.2006279;29;1;1;1;5;0;2;;;;;;;
0;8;5.4713976;2.7338746;2.737523;29;1;1;1;9;0;2;;;;;;;
0;9;0.4882096;0.4658955;0.0223141;32;1;1.5;2;10;1;2;;;;;;;
1;2;1.167664;0.7579127;0.4097513;29;1;1.5;2;14;1;2;;;;;;;
1;3;0.1893609;0.0663677;0.1229932;23;1;1;1;6;0;2;;;;;;;
1;4;0.0899384;0.0802403;0.0096981;25;1;1.5;2;11;1;2;;;;;;;
1;5;0.5395422;0.030586;0.5089562;25;1;1;1;5;0;2;;;;;;;
1;6;0.5979147;0.5841302;0.0137845;29;1;2;3;14;1;2;;;;;;;
1;7;0.0657915;0.058056;0.0077355;23;1;1;1;5;0;2;;;;;;;
1;8;0.0370688;0.0136892;0.0233796;23;1;1;1;3;0;2;;;;;;;
1;9;0.2535327;0.1683347;0.085198;26;1;1.5;2;12;1;2;;;;;;;
2;3;4.6081008;0.442242;4.1658588;30;1;1.5;2;13;1;2;;;;;;;
2;4;14.3105743;7.4470369;6.8635374;32;1;2;2;21;0;2;;;;;;;
2;5;47.6223785;3.6923432;43.9300353;32;1;1.5;2;13;1;2;;;;;;;
2;6;53.4854147;4.118004;49.3674107;36;1;2.5;3;9;1;2;;;;;;;
2;7;1.6186948;0.6343381;0.9843567;30;1;1.5;2;10;1;2;;;;;;;
2;8;2.2769392;2.2649091;0.0120301;30;1;1.5;2;11;1;2;;;;;;;
2;9;7.629306;4.3939124;3.2353936;33;1;2;2;4;0;2;;;;;;;
3;4;2.092209;0.6019691;1.4902399;26;1;1.5;2;14;1;2;;;;;;;
3;5;0.1356317;0.1284371;0.0071946;26;1;1;1;3;0;2;;;;;;;
3;6;2.6490919;0.6921283;1.9569636;30;1;2;3;15;1;2;;;;;;;
3;7;0.1237785;0.014946;0.1088325;24;1;1;1;3;0;2;;;;;;;
3;8;0.5103204;0.1281865;0.3821339;24;1;1;1;8;0;2;;;;;;;
3;9;1.3423086;0.0444567;1.2978519;27;1;1.5;2;12;1;2;;;;;;;
4;5;10.4911809;0.8978929;9.593288;28;1;1.5;2;14;1;2;;;;;;;
4;6;3.9918766;3.9664337;0.0254429;32;1;2.5;3;21;1;2;;;;;;;
4;7;0.5322016;0.502343;0.0298586;26;1;1.5;2;13;1;2;;;;;;;
4;8;0.3575083;0.1483702;0.2091381;26;1;1.5;2;13;1;2;;;;;;;
4;9;1.8566364;1.1547534;0.701883;29;1;2;2;18;0;2;;;;;;;
5;6;30.1584218;3.0810124;27.0774094;32;1;2;3;15;1;2;;;;;;;
5;7;0.6085588;0.1715029;0.4370559;26;1;1;1;4;0;2;;;;;;;
5;8;1.7325593;0.054547;1.6780123;26;1;1;1;7;0;2;;;;;;;
5;9;10.1437084;1.3086184;8.83509;29;1;1.5;2;13;1;2;;;;;;;
6;7;0.9908949;0.950347;0.0405479;30;1;2;3;14;1;2;;;;;;;
6;8;3.0307838;1.852508;1.1782758;30;1;2;3;16;1;2;;;;;;;
6;9;6.8819132;3.1012306;3.7806826;33;1;2.5;3;8;1;2;;;;;;;
7;8;0.2213618;0.1199714;0.1013904;24;1;1;1;6;0;2;;;;;;;
7;9;0.3037396;0.0375165;0.2662231;27;1;1.5;2;9;1;2;;;;;;;
8;9;0.7240581;0.3902254;0.3338327;27;1;1.5;2;11;1;2;;;;;;;
0;1;0.245366;0.2259773;0.0193887;28;1;2;2;17;0;2;;;;;;;
0;2;0.0979646;0.0726373;0.0253273;24;1;2;2;15;0;2;;;;;;;
0;3;1.1177098;0.0793636;1.0383462;26;1;1.5;2;14;1;2;;;;;;;
0;4;0.593324;0.1395763;0.4537477;26;1;2;2;17;0;2;;;;;;;
0;5;0.5864893;0.2802682;0.3062211;24;1;1.5;2;13;1;2;;;;;;;
0;6;0.1596313;0.1416571;0.0179742;26;1;2;2;16;0;2;;;;;;;
0;7;0.6768585;0.233148;0.4437105;25;1;2;2;12;0;2;;;;;;;
0;8;1.0021467;0.495358;0.5067887;25;1;1.5;2;14;1;2;;;;;;;
0;9;0.6181441;0.0977594;0.5203847;27;1;2;2;7;0;2;;;;;;;
1;2;0.2290872;0.0543575;0.1747297;30;1;2;2;9;0;2;;;;;;;
1;3;33.9526693;1.2852117;32.6674576;32;1;1.5;2;12;1;2;;;;;;;
1;4;4.6054355;0.0406555;4.56478;32;1;2;2;7;0;2;;;;;;;
1;5;10.662441;2.0830599;8.5793811;30;1;1.5;2;13;1;2;;;;;;;
1;6;0.0605142;0.0462214;0.0142928;32;1;2;2;4;0;2;;;;;;;
