Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
12;15;32.7635044;1.1218981;31.6416063;92;1;2.5;3;5;1;;;;;;;;;
12;16;21.6065631;1.0575245;20.5490386;92;1;2.5;3;11;1;;;;;;;;;
12;18;41.2053212;2.013564;39.1917572;94;1;2.5;3;4;1;;;;;;;;;
12;19;35.9286878;1.2387458;34.689942;94;1;2.5;3;5;1;;;;;;;;;
13;14;144.2544454;NaN;144.2544454;93;1;2.5;3;NaN;1;;;;;;;;;
13;17;103.5725001;2.1993874;101.3731127;99;1;2.5;3;7;1;;;;;;;;;
14;15;50.1401083;0.8828158;49.2572925;87;1;2.5;3;9;1;;;;;;;;;
14;16;54.2602469;0.8013036;53.4589433;87;1;2.5;3;4;1;;;;;;;;;
14;18;69.3423475;0.7049588;68.6373887;89;1;2.5;3;8;1;;;;;;;;;
14;19;75.970606;0.9925914;74.9780146;89;1;2.5;3;9;1;;;;;;;;;
15;17;35.1383729;1.2023633;33.9360096;93;1;2.5;3;4;1;;;;;;;;;
16;17;27.8036434;1.1433462;26.6602972;93;1;2.5;3;12;1;;;;;;;;;
17;18;45.062329;2.1502622;42.9120668;95;1;2.5;3;5;1;;;;;;;;;
17;19;43.9281941;1.3218718;42.6063223;95;1;2.5;3;4;1;;;;;;;;;
0;7;32.8577412;0.7908219;32.0669193;89;1;3;3;5;0;;;;;;;;;
0;8;92.4696421;NaN;92.4696421;89;1;3;3;NaN;0;;;;;;;;;
0;11;45.3358339;1.0013034;44.3345305;92;1;3;3;7;0;;;;;;;;;
0;13;90.9386277;0.9779228;89.9607049;93;1;3;3;0;0;;;;;;;;;
0;15;37.7616135;1.8898515;35.871762;87;1;3;3;3;0;;;;;;;;;
0;16;30.2416837;NaN;30.2416837;87;1;3;3;NaN;0;;;;;;;;;
0;18;44.5800931;0.8304329;43.7496602;89;1;3;3;4;0;;;;;;;;;
0;19;50.5858221;2.0306178;48.5552043;89;1;3;3;3;0;;;;;;;;;
1;2;59.5924323;1.0270519;58.5653804;93;1;3;4;9;1;;;;;;;;;
1;3;23.4403161;1.1770507;22.2632654;86;1;3;4;8;1;;;;;;;;;
1;4;65.2383011;1.0014581;64.236843;90;1;3;4;8;1;;;;;;;;;
1;5;18.9173017;1.0653549;17.8519468;88;1;3;4;8;1;;;;;;;;;
1;6;28.4625274;2.0139455;26.4485819;91;1;3;4;10;1;;;;;;;;;
1;9;15.1723845;1.0775327;14.0948518;85;1;3;4;7;1;;;;;;;;;
1;10;67.4085944;1.5999187;65.8086757;77;1;3;4;12;1;;;;;;;;;
1;12;28.2213364;1.1790192;27.0423172;93;1;3;4;7;1;;;;;;;;;
1;14;67.9276149;0.8498597;67.0777552;88;1;3;4;11;1;;;;;;;;;
1;17;36.559686;1.2668509;35.2928351;94;1;3;4;8;1;;;;;;;;;
7;8;67.9360396;1.7637729;66.1722667;88;1;3;3;7;0;;;;;;;;;
7;11;31.5089675;1.0373866;30.4715809;91;1;3;3;4;0;;;;;;;;;
7;13;67.2001256;0.8993851;66.3007405;92;1;3;3;5;0;;;;;;;;;
7;15;25.5609267;1.9045792;23.6563475;86;1;3;3;2;0;;;;;;;;;
7;16;16.9846385;NaN;16.9846385;86;1;3;3;NaN;0;;;;;;;;;
7;18;29.8100662;0.788107;29.0219592;88;1;3;3;3;0;;;;;;;;;
7;19;28.5093957;1.1463281;27.3630676;88;1;3;3;2;0;;;;;;;;;
8;11;115.8928682;1.9799509;113.9129173;91;1;3;3;0;0;;;;;;;;;
8;13;163.7020688;0.899866;162.8022028;92;1;3;3;8;0;;;;;;;;;
8;15;66.0781486;0.9061976;65.171951;86;1;3;3;5;0;;;;;;;;;
8;16;71.9207992;0.9269045;70.9938947;86;1;3;3;3;0;;;;;;;;;
8;18;87.3628244;0.7837808;86.5790436;88;1;3;3;4;0;;;;;;;;;
8;19;104.432926;1.0185506;103.4143754;88;1;3;3;5;0;;;;;;;;;
11;13;110.2692873;1.1687363;109.100551;95;1;3;3;7;0;;;;;;;;;
11;15;43.260321;1.0728918;42.1874292;89;1;3;3;4;0;;;;;;;;;
11;16;26.6751085;1.0598684;25.6152401;89;1;3;3;1;0;;;;;;;;;
11;18;47.4785898;1.0300123;46.4485775;91;1;3;3;3;0;;;;;;;;;
11;19;58.6088368;1.2071699;57.4016669;91;1;3;3;4;0;;;;;;;;;
13;15;64.9757296;1.0370791;63.9386505;90;1;3;3;3;0;;;;;;;;;
13;16;70.9647985;NaN;70.9647985;90;1;3;3;NaN;0;;;;;;;;;
13;18;85.801207;0.8912568;84.9099502;92;1;3;3;4;0;;;;;;;;;
13;19;102.1982593;1.1457154;101.0525439;92;1;3;3;3;0;;;;;;;;;
15;16;23.7605251;0.9748881;22.785637;84;1;3;3;5;0;;;;;;;;;
15;18;34.8970557;1.9595474;32.9375083;86;1;3;3;1;0;;;;;;;;;
15;19;37.5126255;1.13588;36.3767455;86;1;3;3;0;0;;;;;;;;;
16;18;29.7948745;0.9088065;28.886068;86;1;3;3;6;0;;;;;;;;;
16;19;28.8808469;1.087649;27.7931979;86;1;3;3;5;0;;;;;;;;;
18;19;45.7364171;1.0493013;44.6871158;88;1;3;3;1;0;;;;;;;;;
0;1;37.4082354;0.9673649;36.4408705;88;1;3.5;4;8;1;;;;;;;;;
1;7;22.8066419;0.882062;21.9245799;87;1;3.5;4;4;1;;;;;;;;;
1;8;84.4284919;0.9419356;83.4865563;87;1;3.5;4;8;1;;;;;;;;;
1;11;28.8242518;1.1863219;27.6379299;90;1;3.5;4;7;1;;;;;;;;;
1;13;83.71973;0.9842447;82.7354853;91;1;3.5;4;8;1;;;;;;;;;
1;15;31.287536;1.9581262;29.3294098;85;1;3.5;4;4;1;;;;;;;;;
1;16;20.7509698;NaN;20.7509698;85;1;3.5;4;NaN;1;;;;;;;;;
1;18;36.5841809;0.9620405;35.6221404;87;1;3.5;4;4;1;;;;;;;;;
1;19;36.1366439;1.1954182;34.9412257;87;1;3.5;4;4;1;;;;;;;;;
