Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;;;;;
7;8;15.3579002;0.6913786;14.6665216;29;1;1.5;2;11;1;2;;;;;;;
7;9;3.4424046;0.0399976;3.402407;28;1;2;2;4;0;2;;;;;;;
8;9;1.9191089;0.5697586;1.3493503;29;1;1.5;2;12;1;2;;;;;;;
0;1;3.6004698;0.0986867;3.5017831;36;1;2;2;0;0;4;;;;;;;
0;2;13.9954467;0.0853918;13.9100549;37;1;1.5;2;4;1;4;;;;;;;
0;3;0.7936128;0.0889447;0.7046681;35;1;2;2;0;0;4;;;;;;;
0;4;0.538704;0.1422974;0.3964066;32;1;2;2;10;0;4;;;;;;;
0;5;2.5544494;0.0964017;2.4580477;33;1;2;2;3;0;4;;;;;;;
0;6;5.1960567;0.0976527;5.098404;34;1;2;2;3;0;4;;;;;;;
0;7;0.8731083;0.0939738;0.7791345;35;1;1.5;2;4;1;4;;;;;;;
0;8;0.3428571;0.0955895;0.2472676;34;1;2;2;2;0;4;;;;;;;
0;9;3.5676143;0.0862901;3.4813242;33;1;2;2;4;0;4;;;;;;;
1;2;25.5091751;0.0855804;25.4235947;39;1;1.5;2;4;1;4;;;;;;;
1;3;3.6984623;0.0954749;3.6029874;37;1;2;2;0;0;4;;;;;;;
1;4;7.8059572;0.150761;7.6551962;34;1;2;2;10;0;4;;;;;;;
1;5;2.4790928;0.0991254;2.3799674;35;1;2;2;3;0;4;;;;;;;
1;6;4.0151344;0.100855;3.9142794;36;1;2;2;3;0;4;;;;;;;
1;7;19.3942559;0.0948831;19.2993728;37;1;1.5;2;4;1;4;;;;;;;
1;8;2.6167967;0.0983004;2.5184963;36;1;2;2;2;0;4;;;;;;;
1;9;3.5642492;0.0775941;3.4866551;35;1;2;2;4;0;4;;;;;;;
2;3;0.2711141;0.0818907;0.1892234;38;1;1.5;2;4;1;4;;;;;;;
2;4;0.4090505;0.1694281;0.2396224;35;1;1.5;2;4;1;4;;;;;;;
2;5;9.6938387;0.0810936;9.6127451;36;1;1.5;2;2;1;4;;;;;;;
2;6;17.5277203;0.0823316;17.4453887;37;1;1.5;2;2;1;4;;;;;;;
2;7;6.7611043;0.0785525;6.6825518;38;1;1;1;0;0;4;;;;;;;
2;8;0.5551466;0.079887;0.4752596;37;1;1.5;2;3;1;4;;;;;;;
2;9;39.1664696;0.1012386;39.065231;36;1;1.5;2;12;1;4;;;;;;;
3;4;0.3275202;0.1427946;0.1847256;33;1;2;2;10;0;4;;;;;;;
3;5;2.7227106;0.0958769;2.6268337;34;1;2;2;3;0;4;;;;;;;
3;6;4.7452776;0.0973153;4.6479623;35;1;2;2;3;0;4;;;;;;;
3;7;3.6356093;0.0890353;3.546574;36;1;1.5;2;4;1;4;;;;;;;
3;8;0.130796;0.0938909;0.0369051;35;1;2;2;2;0;4;;;;;;;
3;9;4.3551585;0.0838649;4.2712936;34;1;2;2;9;0;4;;;;;;;
4;5;3.7130704;0.1818725;3.5311979;31;1;2;2;6;0;4;;;;;;;
4;6;10.9251245;0.1855475;10.739577;32;1;2;2;6;0;4;;;;;;;
4;7;3.3804102;0.1864773;3.1939329;33;1;1.5;2;4;1;4;;;;;;;
4;8;0.2159878;0.1317467;0.0842411;32;1;2;2;9;0;4;;;;;;;
4;9;8.2238393;0.1997992;8.0240401;31;1;2;2;17;0;4;;;;;;;
5;6;1.157035;0.0932635;1.0637715;33;1;2;2;0;0;4;;;;;;;
5;7;8.6904916;0.0910488;8.5994428;34;1;1.5;2;2;1;4;;;;;;;
5;8;2.1330851;0.0961895;2.0368956;33;1;2;2;1;0;4;;;;;;;
5;9;4.2285833;0.0981779;4.1304054;32;1;2;2;12;0;4;;;;;;;
6;7;16.2533817;0.944657;15.3087247;35;1;1.5;2;2;1;4;;;;;;;
6;8;4.2198916;0.096611;4.1232806;34;1;2;2;1;0;4;;;;;;;
6;9;7.6430635;0.1000911;7.5429724;33;1;2;2;13;0;4;;;;;;;
7;8;1.5212635;0.0900624;1.4312011;35;1;1.5;2;3;1;4;;;;;;;
7;9;20.0422468;0.0812426;19.9610042;34;1;1.5;2;12;1;4;;;;;;;
8;9;2.8102004;0.0913637;2.7188367;33;1;2;2;11;0;4;;;;;;;
0;1;56.3680426;0.2876257;56.0804169;60;1;2;2;4;0;8;;;;;;;
0;2;8.1275741;0.278468;7.8491061;56;1;2;2;0;0;8;;;;;;;
0;3;17.9462747;3.4656276;14.4806471;63;1;2.5;3;8;1;8;;;;;;;
0;4;8.6865082;0.3396189;8.3468893;57;1;2;2;0;0;8;;;;;;;
0;5;13.8121935;1.205845;12.6063485;58;1;2;2;0;0;8;;;;;;;
0;6;30.8289403;0.3087369;30.5202034;58;1;2;2;4;0;8;;;;;;;
0;7;6.6663019;0.3455783;6.3207236;55;1;2;2;0;0;8;;;;;;;
0;8;10.7415118;0.2460614;10.4954504;55;1;2;2;0;0;8;;;;;;;
0;9;57.2475976;0.2951776;56.95242;63;1;2;2;4;0;8;;;;;;;
1;2;19.8413651;0.2944976;19.5468675;58;1;2;2;4;0;8;;;;;;;
1;3;27.5158814;3.5760034;23.939878;65;1;2.5;3;7;1;8;;;;;;;
1;4;34.4209049;0.3377973;34.0831076;59;1;2;2;2;0;8;;;;;;;
1;5;49.0423216;0.3379801;48.7043415;60;1;2;2;2;0;8;;;;;;;
1;6;35.1359743;0.3468596;34.7891147;60;1;2;2;0;0;8;;;;;;;
1;7;20.1977491;0.3528887;19.8448604;57;1;2;2;3;0;8;;;;;;;
1;8;76.8448798;0.2793895;76.5654903;57;1;2;2;4;0;8;;;;;;;
1;9;58.1206225;0.3245767;57.7960458;65;1;2;2;0;0;8;;;;;;;
2;3;6.096397;4.3981031;1.6982939;61;1;2.5;3;8;1;8;;;;;;;
2;4;6.3744126;0.3320886;6.042324;55;1;2;2;0;0;8;;;;;;;
2;5;11.3891602;0.3612596;11.0279006;56;1;2;2;0;0;8;;;;;;;
2;6;7.05569;0.2922504;6.7634396;56;1;2;2;4;0;8;;;;;;;
2;7;1.3702432;0.3233385;1.0469047;53;1;2;2;0;0;8;;;;;;;
2;8;8.8763514;0.2308348;8.6455166;53;1;2;2;0;0;8;;;;;;;
2;9;26.4105553;0.2853115;26.1252438;61;1;2;2;4;0;8;;;;;;;
3;4;12.1278389;3.740669;8.3871699;62;1;2.5;3;8;1;8;;;;;;;
3;5;25.0573597;4.3647351;20.6926246;63;1;2.5;3;8;1;8;;;;;;;
3;6;10.9000957;3.6822751;7.2178206;63;1;2.5;3;7;1;8;;;;;;;
3;7;5.1339109;4.1807695;0.9531414;60;1;2.5;3;8;1;8;;;;;;;
3;8;18.3648566;3.2749504;15.0899062;60;1;2.5;3;8;1;8;;;;;;;
3;9;42.4800367;4.7557804;37.7242563;68;1;2.5;3;7;1;8;;;;;;;
4;5;9.04758;0.3479813;8.6995987;57;1;2;2;0;0;8;;;;;;;
4;6;15.490989;0.3340968;15.1568922;57;1;2;2;2;0;8;;;;;;;
4;7;5.1173816;0.3381845;4.7791971;54;1;2;2;0;0;8;;;;;;;
4;8;10.4664086;0.2809849;10.1854237;54;1;2;2;0;0;8;;;;;;;
