Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
1;3;0.5206736;0.5011866;0.019487;28;1;2;2;17;0;;;;;;;;;
1;4;0.923681;0.1636227;0.7600583;29;1;2;2;5;0;;;;;;;;;
1;7;0.1568501;0.1389987;0.0178514;26;1;2;2;15;0;;;;;;;;;
1;8;0.0922518;0.0786372;0.0136146;28;1;2;2;4;0;;;;;;;;;
1;10;0.2537324;0.1236045;0.1301279;26;1;2;2;16;0;;;;;;;;;
1;14;1.206915;0.2834573;0.9234577;27;1;2;2;20;0;;;;;;;;;
1;15;4.3231043;0.6284526;3.6946517;31;1;2;2;9;0;;;;;;;;;
1;16;8.6977464;1.9380575;6.7596889;33;1;2;2;12;0;;;;;;;;;
1;17;0.8629845;0.8162112;0.0467733;32;1;2;2;9;0;;;;;;;;;
1;18;0.6182586;0.0435473;0.5747113;30;1;2;2;7;0;;;;;;;;;
2;3;0.3129487;0.2356411;0.0773076;25;1;2;2;11;0;;;;;;;;;
2;4;0.1870115;0.1724802;0.0145313;26;1;2;2;16;0;;;;;;;;;
2;7;0.0815727;0.0547697;0.026803;23;1;2;2;7;0;;;;;;;;;
2;8;0.1633596;0.0904976;0.072862;25;1;2;2;14;0;;;;;;;;;
2;10;0.0618964;0.0496425;0.0122539;23;1;2;2;5;0;;;;;;;;;
2;14;0.4522125;0.1912373;0.2609752;24;1;2;2;12;0;;;;;;;;;
2;15;0.4998662;0.4809648;0.0189014;28;1;2;2;17;0;;;;;;;;;
2;16;1.152498;1.0863335;0.0661645;30;1;2;2;20;0;;;;;;;;;
2;17;0.8428493;0.5993763;0.243473;29;1;2;2;19;0;;;;;;;;;
2;18;0.2483444;0.2208297;0.0275147;27;1;2;2;17;0;;;;;;;;;
3;4;3.9954404;2.1174341;1.8780063;29;1;2;2;20;0;;;;;;;;;
3;7;0.3834755;0.3700262;0.0134493;26;1;2;2;10;0;;;;;;;;;
3;8;0.7024321;0.6819064;0.0205257;28;1;2;2;17;0;;;;;;;;;
3;10;0.4790939;0.332679;0.1464149;26;1;2;2;11;0;;;;;;;;;
3;14;0.3948325;0.0272344;0.3675981;27;1;2;2;3;0;;;;;;;;;
3;15;13.2112212;6.0170874;7.1941338;31;1;2;2;21;0;;;;;;;;;
3;16;32.3133797;18.4938267;13.819553;33;1;2;2;21;0;;;;;;;;;
3;17;10.3792575;10.3581345;0.021123;32;1;2;2;18;0;;;;;;;;;
3;18;3.008768;1.6531553;1.3556127;30;1;2;2;18;0;;;;;;;;;
4;7;1.1032079;0.3953047;0.7079032;27;1;2;2;18;0;;;;;;;;;
4;8;0.7447962;0.0468212;0.697975;29;1;2;2;5;0;;;;;;;;;
4;10;0.3509615;0.3021475;0.048814;27;1;2;2;17;0;;;;;;;;;
4;14;2.8438962;0.9109793;1.9329169;28;1;2;2;20;0;;;;;;;;;
4;15;0.0900185;0.0435864;0.0464321;32;1;2;2;4;0;;;;;;;;;
4;16;0.3883165;0.0631137;0.3252028;34;1;2;2;7;0;;;;;;;;;
4;17;4.604451;0.0385481;4.5659029;33;1;2;2;6;0;;;;;;;;;
4;18;0.2669759;0.1724727;0.0945032;31;1;2;2;5;0;;;;;;;;;
7;8;0.155774;0.1389559;0.0168181;26;1;2;2;14;0;;;;;;;;;
7;10;0.0630848;0.0302217;0.0328631;24;1;2;2;4;0;;;;;;;;;
7;14;0.8710745;0.275647;0.5954275;25;1;2;2;13;0;;;;;;;;;
7;15;3.1807275;0.8718665;2.308861;29;1;2;2;19;0;;;;;;;;;
7;16;6.9399126;2.4988923;4.4410203;31;1;2;2;21;0;;;;;;;;;
7;17;1.5946377;1.5709955;0.0236422;30;1;2;2;18;0;;;;;;;;;
7;18;1.0649026;0.4031532;0.6617494;28;1;2;2;18;0;;;;;;;;;
8;10;0.2526335;0.1220733;0.1305602;26;1;2;2;15;0;;;;;;;;;
8;14;1.6201529;0.4048227;1.2153302;27;1;2;2;19;0;;;;;;;;;
8;15;2.6205981;0.1298578;2.4907403;31;1;2;2;5;0;;;;;;;;;
8;16;4.4713155;0.2642171;4.2070984;33;1;2;2;8;0;;;;;;;;;
8;17;0.1218694;0.0858243;0.0360451;32;1;2;2;5;0;;;;;;;;;
8;18;0.7516544;0.1720662;0.5795882;30;1;2;2;5;0;;;;;;;;;
10;14;0.8043503;0.2451099;0.5592404;25;1;2;2;10;0;;;;;;;;;
10;15;0.9596186;0.8838575;0.0757611;29;1;2;2;17;0;;;;;;;;;
10;16;2.4355504;2.4180852;0.0174652;31;1;2;2;18;0;;;;;;;;;
10;17;2.8397134;1.3142217;1.5254917;30;1;2;2;19;0;;;;;;;;;
10;18;0.3809426;0.3665068;0.0144358;28;1;2;2;15;0;;;;;;;;;
14;15;8.8286589;2.5358041;6.2928548;30;1;2;2;20;0;;;;;;;;;
14;16;12.4462923;6.4122359;6.0340564;32;1;2;2;20;0;;;;;;;;;
14;17;16.2796938;3.9300234;12.3496704;31;1;2;2;21;0;;;;;;;;;
14;18;2.443155;0.7265635;1.7165915;29;1;2;2;17;0;;;;;;;;;
15;16;0.6746742;0.043117;0.6315572;36;1;2;2;4;0;;;;;;;;;
15;17;15.319529;0.0464668;15.2730622;35;1;2;2;5;0;;;;;;;;;
15;18;1.0329463;0.6673825;0.3655638;33;1;2;2;4;0;;;;;;;;;
16;17;25.702184;0.0348918;25.6672922;37;1;2;2;3;0;;;;;;;;;
16;18;1.4117702;1.3838526;0.0279176;35;1;2;2;5;0;;;;;;;;;
17;18;5.7199492;0.5593102;5.160639;34;1;2;2;6;0;;;;;;;;;
