Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
3,8,35.69085840000025,0.30690560000039113,35.38395279999986,61,1.0,3.0,3,7,0,8
3,9,60.99857179999981,0.4228229000000283,60.57574889999978,63,1.0,3.0,3,7,0,8
4,5,53.431141999999454,0.4550991999994949,52.97604279999996,63,1.0,3.0,3,3,0,8
4,6,43.88955720000013,0.3794911000004504,43.510066099999676,63,1.0,3.0,3,3,0,8
4,7,265.52186280000024,0.35187260000020615,265.16999020000003,59,1.0,3.0,3,3,0,8
4,8,0.7292901000000711,0.21872400000029302,0.5105660999997781,59,1.0,3.0,3,5,0,8
4,9,87.20548350000081,0.31077970000023925,86.89470380000057,61,1.0,3.0,3,6,0,8
5,6,65.9409814999999,0.509547399999974,65.43143409999993,66,1.0,3.0,3,0,0,8
5,7,232.14881030000015,0.6727724000002127,231.47603789999994,62,1.0,3.0,3,0,0,8
5,8,75.44985370000086,0.3765354000006482,75.07331830000021,62,1.0,3.0,3,8,0,8
5,9,64.31497390000004,1.4052824999998847,62.909691400000156,64,1.0,3.0,3,7,0,8
6,7,242.2205328000009,0.47711700000036217,241.74341580000055,62,1.0,3.0,3,0,0,8
6,8,53.33406389999982,0.30633990000023914,53.02772399999958,62,1.0,3.0,3,7,0,8
6,9,63.10876139999982,0.44112390000009327,62.66763749999973,64,1.0,3.0,3,7,0,8
7,8,390.67298200000005,0.3370141000004878,390.33596789999956,58,1.0,3.0,3,10,0,8
7,9,66.25640250000015,0.467961500000456,65.7884409999997,60,1.0,3.0,3,7,0,8
8,9,114.5222377,0.27426529999956983,114.24797240000044,60,1.0,3.0,3,10,0,8
0,1,0.17459749999943597,0.11713249999957043,0.05746499999986554,22,1.0,1.0,1,11,0,2
0,2,0.06811629999720026,0.05095429999892076,0.017161999998279498,20,1.0,1.0,1,7,0,2
0,3,0.1149799000013445,0.07683280000128434,0.03814710000006016,21,1.0,1.0,1,10,0,2
0,4,0.3908247000017582,0.38378150000062305,0.007043200001135119,24,1.0,1.0,1,11,0,2
0,5,0.05067639999833773,0.04160579999916081,0.00907059999917692,21,1.0,1.5,2,8,1,2
0,6,0.041318800000226474,0.03006209999875864,0.011256700001467834,17,1.0,1.0,1,5,0,2
0,7,0.04853919999914069,0.04273359999933746,0.005805599999803235,18,1.0,1.0,1,6,0,2
0,8,0.08009929999934684,0.04352239999934682,0.03657690000000002,22,1.0,1.0,1,6,0,2
0,9,0.02862970000023779,0.02341100000012375,0.0052187000001140404,14,1.0,1.0,1,8,0,2
1,2,0.08651849999841943,0.018307299998923554,0.06821119999949588,26,1.0,1.0,1,4,0,2
1,3,0.3147133999991638,0.3075317000002542,0.0071816999989096075,27,1.0,1.0,1,3,0,2
1,4,4.122977100001663,0.05966380000063509,4.0633133000010275,30,1.0,1.0,1,6,0,2
1,5,2.742637900000773,0.8314167000007728,1.9112212,27,1.0,1.5,2,16,1,2
1,6,0.30219580000084534,0.2735820000016247,0.028613799999220646,23,1.0,1.0,1,10,0,2
1,7,0.6327753000005032,0.28535550000015064,0.34741980000035255,24,1.0,1.0,1,10,0,2
